Filename,Expected,Result,Correct,Time,decisions,unit_props,backtracks,pure_literals,resolution_steps
test1.cnf,UNSAT,SAT,False,0.000000,0,1,0,0,0
test10.cnf,UNSAT,SAT,False,0.000000,1,3,0,0,0
test2.cnf,UNSAT,SAT,False,0.000000,0,0,0,2,0
test3.cnf,UNSAT,SAT,False,0.000000,1,2,0,0,0
test4.cnf,UNSAT,SAT,False,0.000000,0,3,0,0,0
test5.cnf,UNSAT,SAT,False,0.000000,0,1,0,2,0
test6.cnf,UNSAT,SAT,False,0.000000,0,0,0,2,0
test7.cnf,UNSAT,SAT,False,0.000000,0,0,0,2,0
test8.cnf,UNSAT,SAT,False,0.000000,0,3,0,0,0
test9.cnf,UNSAT,SAT,False,0.000000,0,3,0,0,0
test1.cnf,UNSAT,UNSAT,True,0.000000,0,1,0,0,0
test10.cnf,UNSAT,UNSAT,True,0.000000,0,1,0,0,0
test2.cnf,UNSAT,UNSAT,True,0.000000,0,2,0,0,0
test3.cnf,UNSAT,UNSAT,True,0.000000,1,4,1,0,0
test5.cnf,UNSAT,SAT,False,0.000000,0,3,0,0,0
test6.cnf,UNSAT,SAT,False,0.000000,1,3,0,0,0
test7.cnf,UNSAT,UNSAT,True,0.000000,0,2,0,0,0
test8.cnf,UNSAT,SAT,False,0.000000,0,3,0,0,0
test9.cnf,UNSAT,UNSAT,True,0.000000,0,2,0,0,0
